EventID,Describe,EventType,EventOpt1,EventOpt2,EventOpt3,DescOpt1,DescOpt2,DescOpt3,HunterAI,TradeAI,TriggerDist,NextEvent,TaskItem,Trigger,Spoils
15,听说瘟疫要来了，大家都逃了。只剩下一些老弱病残,Side,Next,,,你们不相信丛林之王吗？,,,(1|100),(1|5|6|10|5|100),0,16,,,0
16,丛林之王这种神明，放任我们死活不管，信他有什么用。,Side,Next,,,不，我还要去找到他。,,,(1|100),(1|5|6|10|5|100),0,17,,,0
17,我可以和你交换一些生存物品，如果你需要的话,Side,Trade,,,好的。,,,(1|100),(1|5|6|10|5|100),0,18,,,0
18,这是一块年代久远的石头，看起来十分破旧，上面刻着别扭的字迹,Side,Skip,,,向前走，你想要的都在前方，向后退，你的苦恼都在身后,,,(1|100),(1|1|1|1|1|100),0,19,,,0
19,一个落魄的旅人躺在路边,Side,Next,,,过去看看,,,(1|100),(1|1|1|1|1|100),0,20,,,0
20,你不需要可怜我，我不需要任何帮助,Side,Next,,,···,,,(1|100),(1|1|1|1|1|100),0,21,,,0
21,我是个失败者，我不能保护好我的村子。我活着还有什么意义？,Side,Next,,,你应该振作起来,,,(1|100),(1|1|1|1|1|100),0,22,,,0
22,振作？你不懂我的心情。你不知道亲手摧毁一个村子的希望是多么……,Side,Next,,,抱歉，我不能感同身受,,,(1|100),(1|1|1|1|1|100),0,23,,,0
23,年轻人，我这里有一把匕首送给你，希望他能帮助你。,Side,Skip,,,谢谢,,,(1|100),(1|1|1|1|1|100),0,24,Bishou1|1,,0
24,前面是一个村子，也许有你需要的生存物资,Side,Next,,,过去看看,,,(2|100),(1|1|1|1|1|100),0,25,,,0
25,村口设立了关卡，正在检查来往人群,Side,Next,,,通过关卡,,,(2|100),(1|1|1|1|1|100),0,26,,,0
26,我们要检查你的随身物品，希望你能配合一下,Side,Next,,,可以,,,(2|100),(1|1|1|1|1|100),0,27,,,0
27,这把匕首？是你的吗？,Side,Next,Next,,是我的,是一个旅人给我的,,(2|100),(1|1|1|1|1|100),0,28,,,0
28,这把匕首是我们村中的圣物，属于“丛林之王”的。终于让我抓到你这个窃贼了,Side,Next,,,这可能是一场误会,,,(2|100),(1|1|1|1|1|100),0,29,,,0
29,什么误会，来人，给我拿下！,Side,Fight,,,战斗,,,(2|100),(1|1|1|1|1|100),0,30,,,0
30,路边有一个年轻人正颓废的走着。,Side,Next,,,小心的过去看看,,,(1|100),(1|1|1|1|1|100),0,31,,,0
31,我的村子驱逐了我，我什么都没有，不要说猎人，连一些小野兽都抵抗不了,Side,Next,,,你的村子在哪里？,,,(1|100),(1|1|1|1|1|100),0,32,,,0
32,就是你来的方向，不远就是我的村子。你过来的路上应该经过了。,Side,Next,,,何止是经过呢,,,(1|100),(1|1|1|1|1|100),0,33,,,0
33,我妈妈知道我被流放很难过，可是没有办法，村长非要定我得罪,Side,Next,,,你犯了什么错误？,,,(1|100),(1|1|1|1|1|100),0,34,,,0
34,并没有什么错误。只是我和村长的女儿两情相悦，可是他非要把女儿嫁给莫须有的丛林之王，他说除非我成为丛林之王，不然永远不可能把女儿嫁给我。,Side,Next,,,我可以帮到你，这把匕首给你吧。,,,(1|100),(1|1|1|1|1|100),0,35,,,0
35,这是？这是什么？,Side,Next,,,你拿着它，村长会认可你的。,,,(1|100),(1|1|1|1|1|100),0,36,,,0
36,你不是骗我吧，不过为了爱情我也要去试试,Side,Skip,,,再见了，小伙子,,,(1|100),(1|1|1|1|1|100),0,37,Bishou1|-1,,0
37,周围的草丛有一些异动，直觉告诉你有危险。,Side,Next,,,环顾四周,,,(3|100),(15|15|16|16|1|100),0,38,,,0
38,某个草丛后面突然跳出一只斑斓猛虎,Side,Next,,,闪避,,,(3|100),(15|15|16|16|1|100),0,39,,,0
39,这只刀疤脸老虎身上带着浓重的杀气，看来是一定要至你于死地,Side,Fight,,,战斗,,,(3|100),(15|15|16|16|1|100),0,40,,,0
40,前面是一个小部落，村长看到你一身是血，拦住了你,Side,Next,,,我刚杀了一只老虎,,,(1|100),(1|1|1|1|1|100),0,41,,,0
41,什么！你杀了神虎！你触犯了神明！我们不能收留你！,Side,Next,,,什么神虎？,,,(1|100),(1|1|1|1|1|100),0,42,,,0
42,你刚刚杀掉的刀疤神虎，是丛林之王的伙伴，你触犯了神明，你快走吧，不要牵连我们,Side,Next,,,你知道丛林之王在哪里吗？,,,(1|100),(1|1|1|1|1|100),0,43,,,0
43,丛林之王一直都在内林的。你快走吧，我不会在回答你任何问题,Side,Skip,,,离开,,,(1|100),(1|1|1|1|1|100),0,44,,,0
44,前面有一块巨大的石头，石头上布满了青苔，上面写着一句话,Side,Skip,,,“闻所闻而来，见所见而去”,,,(1|100),(1|1|1|1|1|100),0,45,,,0
45,前方有一个村子，这个村子很像你的家乡，让你不由得心生感慨,Side,Next,,,过去看看,,,(1|100),(1|5|6|10|1|160),0,46,,,0
46,村子中的人都很焦虑，仿佛世界末日前的征兆。你拉住一个老人。,Side,Next,,,这里发生了什么？,,,(1|100),(1|5|6|10|1|160),0,47,,,0
47,听说瘟疫要来了，大家都很担心，可是又没有办法。,Side,Next,,,瘟疫影响到这里了！,,,(1|100),(1|5|6|10|1|160),0,48,,,0
48,是啊。你是外来人，快走吧，不要受到牵连,Side,Next,,,我就是来寻找治疗瘟疫的办法,,,(1|100),(1|5|6|10|1|160),0,49,,,0
49,你？你是丛林里来的人，一定有你的办法。,Side,Next,,,我需要找到丛林之王,,,(1|100),(1|5|6|10|1|160),0,50,,,0
50,丛林之王，抱歉，我没有听过这个名字。,Side,Skip,,,放心吧，我会帮助你们的。,,,(1|100),(1|5|6|10|1|160),0,51,,,0
51,你遇到了一个虔诚者，你曾经也遇到过一些前来朝拜丛林之王的人,Side,Next,,,过去看看,,,(1|100),(1|1|1|1|1|100),0,52,,,0
52,丛林之王。不，我并不相信这片丛林有一个王。,Side,Next,,,那你来朝拜什么,,,(1|100),(1|1|1|1|1|100),0,53,,,0
53,我，朝拜自然，在人类中，我只相信自己。也请你不要再幻想什么丛林之王了。,Side,Next,,,丛林之王不是幻想,,,(1|100),(1|1|1|1|1|100),0,54,,,0
54,哪怕他不是幻想，他也是你赋予神智的普通人，你就这么不自信吗？,Side,Next,,,你……,,,(1|100),(1|1|1|1|1|100),0,55,,,0
55,我要走了，祝你好运,Side,Skip,,,离开,,,(1|100),(1|1|1|1|1|100),0,56,,,0
56,一位老妇人坐在树桩，静静地看着丛林,Side,Next,,,过去看看,,,(1|100),(1|1|1|1|1|100),0,57,,,0
57,你想找丛林之王。孩子，这里已经几十年没有过外人来了。你是唯一一个,Side,Next,,,我？,,,(1|100),(1|1|1|1|1|100),0,58,,,0
58,对啊，现在这里你的传言很多，你知道吗？因为他们没有信心自救了。人没了希望和死了没有区别,Side,Next,,,我的传言？,,,(1|100),(1|1|1|1|1|100),0,59,,,0
59,他们传言你这个唯一的外来人，可以拯救他们，你知道，他们现在重燃了希望之火，就是因为你。,Side,Next,,,因为我？,,,(1|100),(1|1|1|1|1|100),0,60,,,0
60,希望你不要辜负大家的心。你去吧,Side,Skip,,,离开,,,(1|100),(1|1|1|1|1|100),0,61,,,0
61,前面的村庄燃起了火，在这片丛林中着火无异于毁灭。你要赶快去帮忙,Side,Next,,,冲进火场,,,(1|100),(3|5|8|10|1|100),0,62,,,1
62,火势很大，但是在你的指挥下，很快就扑灭了明火，你开始安排人检查暗火,Side,Next,,,继续,,,(1|100),(3|5|8|10|1|100),0,63,,,1
63,你就是那个丛林中来的人吧。你拯救了我们的村子，你拯救了我们所有人！,Side,Next,,,这是我应该做的。,,,(1|100),(3|5|8|10|1|100),0,64,,,1
64,听说你还要继续前进，作为感谢，我们给你准备大量物资,Side,Trade,,,查看物资,,,(1|100),(3|5|8|10|1|100),0,65,,,1
65,在前面有一棵参天大树，很是奇怪。,Side,Next,,,过去看看,,,(4|100),(15|15|16|16|1|100),0,66,,,0
66,还未到达树前，一只猛虎从草丛中跳出来，这只虎和神虎相似，却没有刀疤,Side,Fight,,,战斗,,,(4|100),(15|15|16|16|1|100),0,67,,,0
67,前面就是神迹了，在神迹口你看到一个鬼鬼祟祟的年轻人，他手中拿着一瓶水，直觉告诉你这瓶水一定有蹊跷，你决定抢到这瓶水。,Side,Fight,,,一定要一击必杀,,,(5|100),(5|5|10|10|1|100),0,68,,,0
68,整个神迹只是一个山洞，山洞内一片漆黑，没有任何生命的迹象，湖水中有一潭泉水。,Side,Next,,,喝一口,,,(1|100),(1|1|1|1|1|100),0,69,,,0
69,你喝了一口感觉自己身体很轻松，曾经的不适一扫而光。,Side,Next,,,这水一定可以治愈瘟疫！,,,(1|100),(1|1|1|1|1|100),0,70,,,0
70,你装了一瓶水，决定返程,Side,Skip,,,返回,,,(1|100),(1|1|1|1|1|100),0,71,,,0
71,你拿着一瓶水走出山洞，在门口遇到一个年轻人，年轻人手中拿着枪，他似乎充满了恶意，而目标就是你手中的水,Side,Skip,,,旅途还要继续,,,(1|100),(1|1|1|1|1|100),0,-1,,,0
72,前面遇到一个猎人，在丛林中，可没有朋友，只有利益交换和杀死敌人,Random1,Trade,Fight,Skip,我想我们可以互利，不是吗？,弱肉强食，而你是弱者,放过这个可怜的猎人吧,(6|100),(2|2|7|7|2|120),0,0,,,0
73,前面遇到一个猎人，在丛林中，可没有朋友，只有利益交换和杀死敌人,Random1,Trade,Fight,Skip,我想我们可以互利，不是吗？,弱肉强食，而你是弱者,放过这个可怜的猎人吧,(7|100),(2|2|7|7|2|120),0,0,,,0
74,前面遇到一个猎人，在丛林中，可没有朋友，只有利益交换和杀死敌人,Random1,Trade,Fight,Skip,我想我们可以互利，不是吗？,弱肉强食，而你是弱者,放过这个可怜的猎人吧,(8|100),(2|2|7|7|2|130),0,0,,,0
75,前面遇到一个猎人，在丛林中，可没有朋友，只有利益交换和杀死敌人,Random1,Trade,Fight,Skip,我想我们可以互利，不是吗？,弱肉强食，而你是弱者,放过这个可怜的猎人吧,(9|100),(2|2|7|7|2|130),0,0,,,0
76,前面遇到一个猎人，在丛林中，可没有朋友，只有利益交换和杀死敌人,Random1,Trade,Fight,Skip,我想我们可以互利，不是吗？,弱肉强食，而你是弱者,放过这个可怜的猎人吧,(10|100),(2|2|7|7|2|140),0,0,,,0
77,前面遇到一个猎人，在丛林中，可没有朋友，只有利益交换和杀死敌人,Random1,Trade,Fight,Skip,我想我们可以互利，不是吗？,弱肉强食，而你是弱者,放过这个可怜的猎人吧,(11|100),(2|2|7|7|2|140),0,0,,,0
78,前面遇到一个猎人，在丛林中，可没有朋友，只有利益交换和杀死敌人,Random1,Trade,Fight,Skip,我想我们可以互利，不是吗？,弱肉强食，而你是弱者,放过这个可怜的猎人吧,(12|100),(2|2|7|7|2|150),0,0,,,0
79,前面遇到一个猎人，在丛林中，可没有朋友，只有利益交换和杀死敌人,Random1,Trade,Fight,Skip,我想我们可以互利，不是吗？,弱肉强食，而你是弱者,放过这个可怜的猎人吧,(6|100),(2|2|7|7|2|120),0,0,,,0
80,前面遇到一个猎人，在丛林中，可没有朋友，只有利益交换和杀死敌人,Random1,Trade,Fight,Skip,我想我们可以互利，不是吗？,弱肉强食，而你是弱者,放过这个可怜的猎人吧,(7|100),(2|2|7|7|2|120),0,0,,,0
81,前面遇到一个猎人，在丛林中，可没有朋友，只有利益交换和杀死敌人,Random1,Trade,Fight,Skip,我想我们可以互利，不是吗？,弱肉强食，而你是弱者,放过这个可怜的猎人吧,(8|100),(2|2|7|7|2|130),0,0,,,0
82,前面遇到一个猎人，在丛林中，可没有朋友，只有利益交换和杀死敌人,Random1,Trade,Fight,Skip,我想我们可以互利，不是吗？,弱肉强食，而你是弱者,放过这个可怜的猎人吧,(9|100),(2|2|7|7|2|130),0,0,,,0
83,前面遇到一个猎人，在丛林中，可没有朋友，只有利益交换和杀死敌人,Random1,Trade,Fight,Skip,我想我们可以互利，不是吗？,弱肉强食，而你是弱者,放过这个可怜的猎人吧,(10|100),(2|2|7|7|2|90),0,0,,,0
84,前面遇到一个猎人，在丛林中，可没有朋友，只有利益交换和杀死敌人,Random1,Trade,Fight,Skip,我想我们可以互利，不是吗？,弱肉强食，而你是弱者,放过这个可怜的猎人吧,(11|100),(2|2|7|7|2|140),0,0,,,0
85,前面遇到一个猎人，在丛林中，可没有朋友，只有利益交换和杀死敌人,Random1,Trade,Fight,Skip,我想我们可以互利，不是吗？,弱肉强食，而你是弱者,放过这个可怜的猎人吧,(12|100),(2|2|7|7|2|150),0,0,,,0
86,前面遇到一个猎人，在丛林中，可没有朋友，只有利益交换和杀死敌人,Random1,Trade,Fight,Skip,我想我们可以互利，不是吗？,弱肉强食，而你是弱者,放过这个可怜的猎人吧,(9|100),(2|2|7|7|2|200),0,0,,,0
87,前面遇到一个猎人，在丛林中，可没有朋友，只有利益交换和杀死敌人,Random1,Trade,Fight,Skip,我想我们可以互利，不是吗？,弱肉强食，而你是弱者,放过这个可怜的猎人吧,(10|100),(2|2|7|7|2|80),0,0,,,0
88,前面遇到一个猎人，在丛林中，可没有朋友，只有利益交换和杀死敌人,Random1,Trade,Fight,Skip,我想我们可以互利，不是吗？,弱肉强食，而你是弱者,放过这个可怜的猎人吧,(11|100),(2|2|7|7|2|140),0,0,,,0
89,前面遇到一个猎人，在丛林中，可没有朋友，只有利益交换和杀死敌人,Random1,Trade,Fight,Skip,我想我们可以互利，不是吗？,弱肉强食，而你是弱者,放过这个可怜的猎人吧,(12|100),(2|2|7|7|2|140),0,0,,,0
90,前面遇到一个猎人，在丛林中，可没有朋友，只有利益交换和杀死敌人,Random1,Trade,Fight,Skip,我想我们可以互利，不是吗？,弱肉强食，而你是弱者,放过这个可怜的猎人吧,(12|100),(2|2|7|7|2|130),0,0,,,0
91,在丛林中找到一个部落真的不容易。如果没有足够的资源，根本无法生存下去。,Random2,Trade,Skip,,酋长，我们可以互换一些基本物品,我并不需要交换物品,,(1|100),(5|5|10|10|5|100),0,0,,,0
92,在丛林中找到一个部落真的不容易。如果没有足够的资源，根本无法生存下去。,Random2,Trade,Skip,,酋长，我们可以互换一些基本物品,我并不需要交换物品,,(1|100),(5|5|10|10|5|110),0,0,,,0
93,在丛林中找到一个部落真的不容易。如果没有足够的资源，根本无法生存下去。,Random2,Trade,Skip,,酋长，我们可以互换一些基本物品,我并不需要交换物品,,(1|100),(5|5|10|10|5|120),0,0,,,0
94,在丛林中找到一个部落真的不容易。如果没有足够的资源，根本无法生存下去。,Random2,Trade,Skip,,酋长，我们可以互换一些基本物品,我并不需要交换物品,,(1|100),(5|5|10|10|5|120),0,0,,,0
95,在丛林中找到一个部落真的不容易。如果没有足够的资源，根本无法生存下去。,Random2,Trade,Skip,,酋长，我们可以互换一些基本物品,我并不需要交换物品,,(1|100),(5|5|10|10|5|130),0,0,,,0
96,在丛林中找到一个部落真的不容易。如果没有足够的资源，根本无法生存下去。,Random2,Trade,Skip,,酋长，我们可以互换一些基本物品,我并不需要交换物品,,(1|100),(5|5|10|10|5|130),0,0,,,0
97,在丛林中找到一个部落真的不容易。如果没有足够的资源，根本无法生存下去。,Random2,Trade,Skip,,酋长，我们可以互换一些基本物品,我并不需要交换物品,,(1|100),(5|5|10|10|5|140),0,0,,,0
98,在丛林中找到一个部落真的不容易。如果没有足够的资源，根本无法生存下去。,Random2,Trade,Skip,,酋长，我们可以互换一些基本物品,我并不需要交换物品,,(1|100),(5|5|10|10|5|140),0,0,,,0
99,在丛林中找到一个部落真的不容易。如果没有足够的资源，根本无法生存下去。,Random2,Trade,Skip,,酋长，我们可以互换一些基本物品,我并不需要交换物品,,(1|100),(5|5|10|10|5|150),0,0,,,0
100,在丛林中找到一个部落真的不容易。如果没有足够的资源，根本无法生存下去。,Random2,Trade,Skip,,酋长，我们可以互换一些基本物品,我并不需要交换物品,,(1|100),(5|5|10|10|5|150),0,0,,,0
101,在丛林中找到一个部落真的不容易。如果没有足够的资源，根本无法生存下去。,Random2,Trade,Skip,,酋长，我们可以互换一些基本物品,我并不需要交换物品,,(1|100),(5|5|10|10|5|160),0,0,,,0
102,在丛林中找到一个部落真的不容易。如果没有足够的资源，根本无法生存下去。,Random2,Trade,Skip,,酋长，我们可以互换一些基本物品,我并不需要交换物品,,(1|100),(5|5|10|10|5|170),0,0,,,0
103,在丛林中找到一个部落真的不容易。如果没有足够的资源，根本无法生存下去。,Random2,Trade,Skip,,酋长，我们可以互换一些基本物品,我并不需要交换物品,,(1|100),(5|5|10|10|5|90),0,0,,,0
104,在丛林中找到一个部落真的不容易。如果没有足够的资源，根本无法生存下去。,Random2,Trade,Skip,,酋长，我们可以互换一些基本物品,我并不需要交换物品,,(1|100),(5|5|10|10|5|90),0,0,,,0
105,在丛林中找到一个部落真的不容易。如果没有足够的资源，根本无法生存下去。,Random2,Trade,Skip,,酋长，我们可以互换一些基本物品,我并不需要交换物品,,(1|100),(5|5|10|10|5|80),0,0,,,0
106,商人？丛林中的投机者。猎人的生命在他们眼里都是金币。,Random3,Trade,Skip,,你若是想坑我，我一定宰了你,绝不给他坑我的机会,,(1|100),(4|4|9|9|4|70),0,0,,,0
107,商人？丛林中的投机者。猎人的生命在他们眼里都是金币。,Random3,Trade,Skip,,你若是想坑我，我一定宰了你,绝不给他坑我的机会,,(1|100),(4|4|9|9|4|70),0,0,,,0
108,商人？丛林中的投机者。猎人的生命在他们眼里都是金币。,Random3,Trade,Skip,,你若是想坑我，我一定宰了你,绝不给他坑我的机会,,(1|100),(4|4|9|9|4|50),0,0,,,0
109,商人？丛林中的投机者。猎人的生命在他们眼里都是金币。,Random3,Trade,Skip,,你若是想坑我，我一定宰了你,绝不给他坑我的机会,,(1|100),(4|4|9|9|4|50),0,0,,,0
110,商人？丛林中的投机者。猎人的生命在他们眼里都是金币。,Random3,Trade,Skip,,你若是想坑我，我一定宰了你,绝不给他坑我的机会,,(1|100),(4|4|9|9|4|100),0,0,,,0
111,商人？丛林中的投机者。猎人的生命在他们眼里都是金币。,Random3,Trade,Skip,,你若是想坑我，我一定宰了你,绝不给他坑我的机会,,(1|100),(4|4|9|9|4|100),0,0,,,0
112,商人？丛林中的投机者。猎人的生命在他们眼里都是金币。,Random3,Trade,Skip,,你若是想坑我，我一定宰了你,绝不给他坑我的机会,,(1|100),(4|4|9|9|4|110),0,0,,,0
113,商人？丛林中的投机者。猎人的生命在他们眼里都是金币。,Random3,Trade,Skip,,你若是想坑我，我一定宰了你,绝不给他坑我的机会,,(1|100),(4|4|9|9|4|110),0,0,,,0
114,商人？丛林中的投机者。猎人的生命在他们眼里都是金币。,Random3,Trade,Skip,,你若是想坑我，我一定宰了你,绝不给他坑我的机会,,(1|100),(4|4|9|9|4|120),0,0,,,0
115,商人？丛林中的投机者。猎人的生命在他们眼里都是金币。,Random3,Trade,Skip,,你若是想坑我，我一定宰了你,绝不给他坑我的机会,,(1|100),(4|4|9|9|4|120),0,0,,,0
116,商人？丛林中的投机者。猎人的生命在他们眼里都是金币。,Random3,Trade,Skip,,你若是想坑我，我一定宰了你,绝不给他坑我的机会,,(1|100),(4|4|9|9|4|200),0,0,,,0
117,商人？丛林中的投机者。猎人的生命在他们眼里都是金币。,Random3,Trade,Skip,,你若是想坑我，我一定宰了你,绝不给他坑我的机会,,(1|100),(4|4|9|9|4|80),0,0,,,0
118,商人？丛林中的投机者。猎人的生命在他们眼里都是金币。,Random3,Trade,Skip,,你若是想坑我，我一定宰了你,绝不给他坑我的机会,,(1|100),(4|4|9|9|4|80),0,0,,,0
119,商人？丛林中的投机者。猎人的生命在他们眼里都是金币。,Random3,Trade,Skip,,你若是想坑我，我一定宰了你,绝不给他坑我的机会,,(1|100),(4|4|9|9|4|90),0,0,,,0
120,商人？丛林中的投机者。猎人的生命在他们眼里都是金币。,Random3,Trade,Skip,,你若是想坑我，我一定宰了你,绝不给他坑我的机会,,(1|100),(4|4|9|9|4|90),0,0,,,0
121,丛林中最多的就是野兽，他们在我眼中只是行走肉和毛皮,Random4,Fight,,,生命不息，战斗不止,,,(13|100),(15|15|16|16|1|100),0,0,,,0
122,丛林中最多的就是野兽，他们在我眼中只是行走肉和毛皮,Random4,Fight,,,生命不息，战斗不止,,,(14|100),(15|15|16|16|1|100),0,0,,,0
123,丛林中最多的就是野兽，他们在我眼中只是行走肉和毛皮,Random4,Fight,,,生命不息，战斗不止,,,(15|100),(15|15|16|16|1|100),0,0,,,0
124,丛林中最多的就是野兽，他们在我眼中只是行走肉和毛皮,Random4,Fight,,,生命不息，战斗不止,,,(16|100),(15|15|16|16|1|100),0,0,,,0
125,丛林中最多的就是野兽，他们在我眼中只是行走肉和毛皮,Random4,Fight,,,生命不息，战斗不止,,,(17|100),(15|15|16|16|1|100),0,0,,,0
126,丛林中最多的就是野兽，他们在我眼中只是行走肉和毛皮,Random4,Fight,,,生命不息，战斗不止,,,(18|100),(15|15|16|16|1|100),0,0,,,0
127,丛林中最多的就是野兽，他们在我眼中只是行走肉和毛皮,Random4,Fight,,,生命不息，战斗不止,,,(19|100),(15|15|16|16|1|100),0,0,,,0
128,丛林中最多的就是野兽，他们在我眼中只是行走肉和毛皮,Random4,Fight,,,生命不息，战斗不止,,,(20|100),(15|15|16|16|1|100),0,0,,,0
